term,definition
>Basal Body Temperature,">Basal body temperature is your temperature at rest when you wake up in the morning. This temperature rises slightly around the time of ovulation. Keeping track of this temperature and other changes such as cervical mucus may help you figure out when you are ovulating. Take your temperature before you get out of bed every morning. Since the change during ovulation is only about 1/2 degree F (1/3 degree C), you should use a sensitive thermometer such as a basal body thermometer."
>Blood Alcohol Content,">Blood alcohol content, or blood alcohol concentration (BAC), is the amount of alcohol in a given volume of blood.  For medical and legal purposes, BAC is expressed as grams of alcohol in a 100 milliliter sample of blood."
>Blood  Pressure,">Blood pressure is the force of blood pushing against the walls of the arteries as your heart pumps blood.  It includes two measurements. ""Systolic"" is your blood pressure when your heart beats while pumping blood. ""Diastolic"" is your blood pressure when the heart is at rest between beats. You usually see blood pressure numbers written with the systolic number above or before the diastolic number. For example, you might see 120/80."
>Blood Type,">There are four major blood types: A, B, O, and AB. The types are based on substances on the surface of the blood cells.  Besides blood types, there is the Rh factor.  It is a protein on red blood cells. Most people are Rh-positive; they have Rh factor. Rh-negative people don't have it.  Rh factor is inherited though genes."
>Body Mass Index,">Body Mass Index (BMI) is an estimate of your body fat.  It is calculated from your height and weight.  It can tell you whether you are underweight, normal, overweight, or obese. It can help you gauge your risk for diseases that can occur with more body fat. "
>Body Temperature,>Body temperature is a measure of your bodyâs level of heat. 
>Cervical Mucus,">Cervical mucus comes from the cervix. It collects in the vagina. Tracking the changes in your mucus during your cycle, along with changes in your basal body temperature, may help you figure out when you are ovulating."
>Galvanic Skin  Response,>Galvanic skin response is a change in electrical resistance of the skin.  It can occur in response to emotional arousal or other conditions.
>Heart Rate,">Heart rate, or pulse, is how many times your heart beats in a period of time â usually a minute. The usual pulse for an adult is 60 to 100 beats per minute after resting for at least 10 minutes."
>Height,>Your height is the distance from the bottom of your feet to the top of your head when you are standing up straight.
>Inhaler Usage,>An inhaler is a device that sprays medicine through your mouth to your lungs.
>Menstruation,">Menstruation, or period, is normal vaginal bleeding that happens as part of a woman's monthly cycle. Keeping track of your cycles helps you figure out when the next one will come, whether you missed one, and if there is a problem with your cycles."
>Ovulation Test,">Ovulation is the release of an egg from a woman's ovary. Ovulation tests detect a rise in a hormone level that happens just before ovulation. This can help you figure out when you will ovulate, and when you are most likely to get pregnant."
>Respiratory Rate,>Respiratory rate is your rate of breathing (inhalation and exhalation) within a certain time. It is usually stated as breaths per minute.
>Sexual Activity,>Sexuality is part of being human and plays a role in healthy relationships. Keeping track of your sexual activity can help you watch for sexual problems and fertility problems. It can also help you learn about your risk for sexually transmitted diseases.
>Spotting,">Spotting is light vaginal bleeding that is not your period. It could be between periods, after menopause, or during pregnancy. There can be many different causes; some are serious and some are not. Contact your health care provider if you have spotting; call right away if you are pregnant."
>UV Exposure,">Ultraviolet (UV) rays are an invisible form of radiation from sunlight. They can help your body form vitamin D naturally. But they can pass through your skin and damage your skin cells, causing sunburn. UV rays can also cause eye problems, wrinkles, skin spots, and skin cancer."
>Weight (Body Mass),>Your weight is the mass or quantity of your heaviness.  It is expressed by units of pounds or kilograms.
>Activity Count,">Physical activity is any body movement that works your muscles and requires more energy than resting. Walking, running, dancing, swimming, yoga, and gardening are a few examples of physical activity."
>Aerobic Exercise,">Aerobic exercise is activity that moves your large muscles, such as those in your arms and legs.  It makes you breathe harder and your heart beat faster.  Examples include running, swimming, walking, and biking.  Over time, regular aerobic activity makes your heart and lungs stronger and able to work better."
>Basal Metabolic Rate,">Basal metabolic rate is the measure of the energy necessary for maintaining basic functions, such as breathing, heart rate, and digestion."
>Body Mass Index,">Body Mass Index (BMI) is an estimate of your body fat.  It is calculated from your height and weight.  It can tell you whether you are underweight, normal, overweight, or obese. It can help you gauge your risk for diseases that can occur with more body fat. "
>Cool Down,">Your physical activity session should end by gradually slowing down. You can also cool down by changing to a less vigorous activity, such as moving from jogging to walking. This process allows your body to relax gradually.  A cool down can last 5 minutes or more."
>Energy Balance,">The balance between calories you get from eating and drinking and those you use up through physical activity and body processes like breathing, digesting food, and, in children, growing."
>Energy Consumed,">Energy is another word for calories. What you eat and drink is ""energy in."" What you burn through physical activity is ""energy out."""
>Flexibility  (Training),">Flexibility training is exercise that stretches and lengthens your muscles. It can help improve your joint flexibility and keep your muscles limber.  This can help prevent injuries. Some examples are yoga, tai chi, and pilates."
>Heart Rate,">Heart rate, or pulse, is how many times your heart beats in a period of time â usually a minute. The usual pulse for an adult is 60 to 100 beats per minute after resting for at least 10 minutes."
>Maximum Heart Rate,>The maximum heart rate is the fastest your heart can beat.
